value,date
156309,1/1/1952
156527,2/1/1952
156731,3/1/1952
156943,4/1/1952
157140,5/1/1952
157343,6/1/1952
157553,7/1/1952
157798,8/1/1952
158053,9/1/1952
158306,10/1/1952
158451,11/1/1952
158757,12/1/1952
158973,1/1/1953
159170,2/1/1953
159349,3/1/1953
159556,4/1/1953
159745,5/1/1953
159956,6/1/1953
160184,7/1/1953
160449,8/1/1953
160718,9/1/1953
160978,10/1/1953
161223,11/1/1953
161453,12/1/1953
161690,1/1/1954
161912,2/1/1954
162124,3/1/1954
162350,4/1/1954
162564,5/1/1954
162790,6/1/1954
163026,7/1/1954
163290,8/1/1954
163570,9/1/1954
163847,10/1/1954
164107,11/1/1954
164349,12/1/1954
164588,1/1/1955
164809,2/1/1955
165018,3/1/1955
165251,4/1/1955
165463,5/1/1955
165695,6/1/1955
165931,7/1/1955
166192,8/1/1955
166473,9/1/1955
166755,10/1/1955
167023,11/1/1955
167270,12/1/1955
167513,1/1/1956
167746,2/1/1956
167977,3/1/1956
168221,4/1/1956
168436,5/1/1956
168659,6/1/1956
168903,7/1/1956
169191,8/1/1956
169488,9/1/1956
169780,10/1/1956
170063,11/1/1956
170315,12/1/1956
170571,1/1/1957
170806,2/1/1957
171029,3/1/1957
171271,4/1/1957
171501,5/1/1957
171741,6/1/1957
171984,7/1/1957
172257,8/1/1957
172538,9/1/1957
172816,10/1/1957
173070,11/1/1957
173298,12/1/1957
173533,1/1/1958
173746,2/1/1958
173945,3/1/1958
174176,4/1/1958
174397,5/1/1958
174639,6/1/1958
174882,7/1/1958
175143,8/1/1958
175413,9/1/1958
175697,10/1/1958
175966,11/1/1958
176207,12/1/1958
176447,1/1/1959
176685,2/1/1959
176905,3/1/1959
177146,4/1/1959
177365,5/1/1959
177591,6/1/1959
177830,7/1/1959
178101,8/1/1959
178376,9/1/1959
178657,10/1/1959
178921,11/1/1959
179153,12/1/1959
179386,1/1/1960
179597,2/1/1960
179788,3/1/1960
180007,4/1/1960
180222,5/1/1960
180444,6/1/1960
180671,7/1/1960
180945,8/1/1960
181238,9/1/1960
181528,10/1/1960
181796,11/1/1960
182042,12/1/1960
182287,1/1/1961
182520,2/1/1961
182742,3/1/1961
182992,4/1/1961
183217,5/1/1961
183452,6/1/1961
183691,7/1/1961
183958,8/1/1961
184243,9/1/1961
184524,10/1/1961
184783,11/1/1961
185016,12/1/1961
185242,1/1/1962
185452,2/1/1962
185650,3/1/1962
185874,4/1/1962
186087,5/1/1962
186314,6/1/1962
186538,7/1/1962
186790,8/1/1962
187058,9/1/1962
187323,10/1/1962
187574,11/1/1962
187796,12/1/1962
188013,1/1/1963
188213,2/1/1963
188387,3/1/1963
188580,4/1/1963
188790,5/1/1963
189018,6/1/1963
189242,7/1/1963
189496,8/1/1963
189761,9/1/1963
190028,10/1/1963
190265,11/1/1963
190472,12/1/1963
190668,1/1/1964
190858,2/1/1964
191047,3/1/1964
191245,4/1/1964
191447,5/1/1964
191666,6/1/1964
191889,7/1/1964
192131,8/1/1964
192376,9/1/1964
192631,10/1/1964
192847,11/1/1964
193039,12/1/1964
193223,1/1/1965
193393,2/1/1965
193540,3/1/1965
193709,4/1/1965
193888,5/1/1965
194087,6/1/1965
194303,7/1/1965
194528,8/1/1965
194761,9/1/1965
194997,10/1/1965
195195,11/1/1965
195372,12/1/1965
195539,1/1/1966
195688,2/1/1966
195831,3/1/1966
195999,4/1/1966
196178,5/1/1966
196372,6/1/1966
196560,7/1/1966
196762,8/1/1966
196984,9/1/1966
197207,10/1/1966
197398,11/1/1966
197572,12/1/1966
197736,1/1/1967
197892,2/1/1967
198037,3/1/1967
198206,4/1/1967
198363,5/1/1967
198537,6/1/1967
198712,7/1/1967
198911,8/1/1967
199113,9/1/1967
199311,10/1/1967
199498,11/1/1967
199657,12/1/1967
199808,1/1/1968
199920,2/1/1968
200056,3/1/1968
200208,4/1/1968
200361,5/1/1968
200536,6/1/1968
200706,7/1/1968
200898,8/1/1968
201095,9/1/1968
201290,10/1/1968
201466,11/1/1968
201621,12/1/1968
201760,1/1/1969
201881,2/1/1969
202023,3/1/1969
202161,4/1/1969
202331,5/1/1969
202507,6/1/1969
202677,7/1/1969
202877,8/1/1969
203090,9/1/1969
203302,10/1/1969
203500,11/1/1969
203675,12/1/1969
203849,1/1/1970
204008,2/1/1970
204156,3/1/1970
204401,4/1/1970
204607,5/1/1970
204830,6/1/1970
205052,7/1/1970
205295,8/1/1970
205540,9/1/1970
205788,10/1/1970
206024,11/1/1970
206238,12/1/1970
206466,1/1/1971
206668,2/1/1971
206855,3/1/1971
207065,4/1/1971
207260,5/1/1971
207462,6/1/1971
207661,7/1/1971
207881,8/1/1971
208114,9/1/1971
208345,10/1/1971
208555,11/1/1971
208740,12/1/1971
208917,1/1/1972
209061,2/1/1972
209212,3/1/1972
209386,4/1/1972
209545,5/1/1972
209725,6/1/1972
209896,7/1/1972
210075,8/1/1972
210278,9/1/1972
210479,10/1/1972
210656,11/1/1972
210821,12/1/1972
210985,1/1/1973
211120,2/1/1973
211254,3/1/1973
211420,4/1/1973
211577,5/1/1973
211746,6/1/1973
211909,7/1/1973
212092,8/1/1973
212289,9/1/1973
212475,10/1/1973
212634,11/1/1973
212785,12/1/1973
212932,1/1/1974
213074,2/1/1974
213211,3/1/1974
213361,4/1/1974
213513,5/1/1974
213686,6/1/1974
213854,7/1/1974
214042,8/1/1974
214246,9/1/1974
214451,10/1/1974
214625,11/1/1974
214782,12/1/1974
214931,1/1/1975
215065,2/1/1975
215198,3/1/1975
215353,4/1/1975
215523,5/1/1975
215768,6/1/1975
215973,7/1/1975
216195,8/1/1975
216393,9/1/1975
216587,10/1/1975
216771,11/1/1975
216931,12/1/1975
217095,1/1/1976
217249,2/1/1976
217381,3/1/1976
217528,4/1/1976
217685,5/1/1976
217861,6/1/1976
218035,7/1/1976
218233,8/1/1976
218440,9/1/1976
218644,10/1/1976
218834,11/1/1976
219006,12/1/1976
219179,1/1/1977
219344,2/1/1977
219504,3/1/1977
219684,4/1/1977
219859,5/1/1977
220046,6/1/1977
220239,7/1/1977
220458,8/1/1977
220688,9/1/1977
220904,10/1/1977
221109,11/1/1977
221303,12/1/1977
221477,1/1/1978
221629,2/1/1978
221792,3/1/1978
221991,4/1/1978
222176,5/1/1978
222379,6/1/1978
222585,7/1/1978
222805,8/1/1978
223053,9/1/1978
223271,10/1/1978
223477,11/1/1978
223670,12/1/1978
223865,1/1/1979
224053,2/1/1979
224235,3/1/1979
